Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle,Current,Voltage,Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Time,Power_W,Energy_Wh,dV_dt
23,23.188394045590197,2015-10-16 09:34:41,23.188394712246584,1,1,0.5000528471821549,0.5495522051085009,0.0,0.0,0.0,0.0,-6.480216688942164e-05,0.0,0,0,0,22.0,0.0,0.0,-0.00016188621520996094
24,24.204039358560117,2015-10-16 09:34:42,24.204039934992327,1,1,0.5000528471821549,0.5497427799953865,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,23.0,0.0,0.0,0.00032401084899902344
25,25.21941687616154,2015-10-16 09:34:43,25.219417522768108,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,-3.24249267578125e-05,0.0,0,0,0,24.0,0.0,0.0,-0.0001621246337890625
26,26.219603144350963,2015-10-16 09:34:44,26.219603695720902,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,25.0,0.0,0.0,0.0
27,27.219726686690777,2015-10-16 09:34:45,27.219727333297342,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,-3.24249267578125e-05,0.0,0,0,0,26.0,0.0,0.0,0.0
28,28.235201255426947,2015-10-16 09:34:46,28.23520183185916,1,1,0.5000528471821549,0.5497427799953865,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,27.0,0.0,0.0,0.0001621246337890625
29,29.249715031964033,2015-10-16 09:34:47,29.249715297624096,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,28.0,0.0,0.0,-0.0001621246337890625
30,30.250811436492206,2015-10-16 09:34:48,30.250812083098776,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,29.000000000000004,0.0,0.0,0.0
31,31.266445145631067,2015-10-16 09:34:49,31.266445727075737,1,1,0.5000528471821549,0.5497427799953865,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,30.000000000000004,0.0,0.0,0.0001621246337890625
32,32.26646260439399,2015-10-16 09:34:50,32.26646325100056,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,31.000000000000004,0.0,0.0,-0.0001621246337890625
33,33.282020510190705,2015-10-16 09:34:51,33.28202109163537,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,-3.24249267578125e-05,0.0,0,0,0,32.0,0.0,0.0,0.0
34,34.297608966894664,2015-10-16 09:34:52,34.29760951325216,1,1,0.5000528471821549,0.5497427799953865,0.0,0.0,0.0,0.0,3.24249267578125e-05,0.0,0,0,0,33.0,0.0,0.0,0.0001621246337890625
35,35.31226566353324,2015-10-16 09:34:53,35.31226621490318,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,-3.24249267578125e-05,0.0,0,0,0,34.0,0.0,0.0,-0.0001621246337890625
36,36.313283146972864,2015-10-16 09:34:54,36.31328372340508,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,-3.24249267578125e-05,0.0,0,0,0,35.0,0.0,0.0,0.0
37,37.32883275715817,2015-10-16 09:34:55,37.32883333860284,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,-3.24249267578125e-05,0.0,0,0,0,36.0,0.0,0.0,0.0
38,38.344355655976,2015-10-16 09:34:56,38.34435632764484,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,37.0,0.0,0.0,0.0
39,39.360052707496315,2015-10-16 09:34:57,39.36005328392853,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,38.0,0.0,0.0,0.0
40,40.375713117977746,2015-10-16 09:34:58,40.37571369942241,1,1,0.5000528471821549,0.5497427799953865,0.0,0.0,0.0,0.0,3.24249267578125e-05,0.0,0,0,0,39.0,0.0,0.0,0.0001621246337890625
41,41.39129527903946,2015-10-16 09:34:59,41.391295855471675,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,40.0,0.0,0.0,-0.0001621246337890625
42,42.39131523901694,2015-10-16 09:35:00,42.391315820461614,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,41.0,0.0,0.0,0.0
43,43.40689107937414,2015-10-16 09:35:01,43.406891655806355,1,1,0.5000528471821549,0.5497427799953865,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,42.0,0.0,0.0,0.0001621246337890625
44,44.42253598132283,2015-10-16 09:35:02,44.42253656276749,1,1,0.5000528471821549,0.5495522051085009,0.0,0.0,0.0,0.0,-6.480216688942164e-05,0.0,0,0,0,43.0,0.0,0.0,-0.00032401084899902344
45,45.4371482976935,2015-10-16 09:35:03,45.43714884906344,1,1,0.5000528471821549,0.5497427799953865,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,44.0,0.0,0.0,0.00032401084899902344
46,46.438110318329386,2015-10-16 09:35:04,46.4381108947616,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,45.0,0.0,0.0,-0.0001621246337890625
47,47.45371486501075,2015-10-16 09:35:05,47.453715436430514,1,1,0.5000528471821549,0.5497427799953865,0.0,0.0,0.0,0.0,3.24249267578125e-05,0.0,0,0,0,46.0,0.0,0.0,0.0001621246337890625
48,48.4694348184335,2015-10-16 09:35:06,48.469435465040064,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,47.0,0.0,0.0,-0.0001621246337890625
49,49.484955516784005,2015-10-16 09:35:07,49.48495609321622,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,48.0,0.0,0.0,0.0
50,50.48507463312693,2015-10-16 09:35:08,50.48507518950932,1,1,0.5000528471821549,0.5495522051085009,0.0,0.0,0.0,0.0,-3.237724376958795e-05,0.0,0,0,0,49.0,0.0,0.0,-0.00016188621520996094
51,51.500553206813855,2015-10-16 09:35:09,51.50055387848269,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,50.0,0.0,0.0,0.00016188621520996094
52,52.516211727600115,2015-10-16 09:35:11,52.516212309044775,1,1,0.5000528471821549,0.5495522051085009,0.0,0.0,0.0,0.0,-3.237724376958795e-05,0.0,0,0,0,52.0,0.0,0.0,-8.094310760498047e-05
53,53.516616939781144,2015-10-16 09:35:12,53.516617581375264,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,53.0,0.0,0.0,0.00016188621520996094
54,54.5317722603083,2015-10-16 09:35:13,54.531772836740515,1,1,0.5000528471821549,0.5497427799953865,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,54.0,0.0,0.0,0.0001621246337890625
55,55.54737830571343,2015-10-16 09:35:14,55.54737888715809,1,1,0.5000528471821549,0.5497427799953865,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,55.0,0.0,0.0,0.0
56,56.547412912081555,2015-10-16 09:35:15,56.5474134634515,1,1,0.5000528471821549,0.5495522051085009,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,56.0,0.0,0.0,-0.00032401084899902344
57,57.56297613107953,2015-10-16 09:35:16,57.56297671252419,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,57.0,0.0,0.0,0.00016188621520996094
58,58.562976712909766,2015-10-16 09:35:17,58.56297728934198,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,-3.24249267578125e-05,0.0,0,0,0,58.00000000000001,0.0,0.0,0.0
59,59.57761704889841,2015-10-16 09:35:18,59.57761731455848,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,59.00000000000001,0.0,0.0,0.0
60,60.00063134673073,2015-10-16 09:35:18,60.000631993337294,1,1,0.5000528471821549,0.5497427799953865,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,59.00000000000001,0.0,0.0,0.0
61,61.01659065968878,2015-10-16 09:35:19,1.015523129390717,2,1,0.9999093792964402,0.6370307058352516,0.000282071885182,0.0,0.001009878291087,0.0,0.0019117832416668534,0.0,0,0,0,60.00000000000001,3.583457801562986,0.0009954049448786073,0.14840483665466309
62,62.03161590703411,2015-10-16 09:35:20,2.030549043392429,2,1,0.999818728803037,0.638650662489632,0.000564007200194,0.0,0.002020446328013,0.0,0.002462625503540039,0.0,0,0,0,61.00000000000001,3.585562005661842,0.0019913943908957854,0.00275421142578125
63,63.03162321056519,2015-10-16 09:35:21,3.030555775503752,2,1,0.9999093792964402,0.6398894693702408,0.000841764386042,0.0,0.003016690458401,0.0,0.002883863402530551,0.0,0,0,0,62.00000000000001,3.5883188435384454,0.0029881496252120205,0.002106189727783203
64,64.04781441486512,2015-10-16 09:35:22,4.046746874542132,2,1,0.999818728803037,0.6408424840363736,0.001124037929757,0.0,0.004029681044139,0.0,0.0032079219818115234,0.0,0,0,0,63.00000000000001,3.5892883034750866,0.0039851741539551,0.0016202926635742188
65,65.04784208900932,2015-10-16 09:35:23,5.046774719109788,2,1,0.9997281080994771,0.6417000009115064,0.001401811251373,0.0,0.005026980905587,0.0,0.0025598048232495785,0.0,0,0,0,64.0,3.590095064118671,0.004982422782876946,0.001457929611206065
66,66.06364470782377,2015-10-16 09:35:24,6.062577262737417,2,1,0.9997281080994771,0.6426530155776391,0.001683968178667,0.0,0.006040443196212,0.0,0.0018469810020178556,0.0,0,0,0,65.0,3.5917149827396457,0.005980121389193515,0.0016202926635742188
67,67.07899686240785,2015-10-16 09:35:25,7.077929422333953,2,1,0.9999093792964402,0.6434153151251814,0.001965992162234,0.0,0.007053810986712,0.0,0.001587724662385881,0.0,0,0,0,66.0,3.5943141922281825,0.006978541998145787,0.0012960433959960938
68,68.09461229112691,2015-10-16 09:35:26,8.093544851053002,2,1,0.999818728803037,0.6440823973451335,0.002248090843907,0.0,0.008067809004543,0.0,0.0011989116901531816,0.0,0,0,0,67.0,3.594796453486424,0.007977096568558682,0.0011341571807861328
69,69.09468245584385,2015-10-16 09:35:27,9.093614995720136,2,1,0.999818728803037,0.6447494795650857,0.002525861745119,0.0,0.009066576055132,0.0,0.0011017322540283203,0.0,0,0,0,68.0,3.5959305544907494,0.008975966167028334,0.0011341571807861328
70,70.1101820116633,2015-10-16 09:35:28,10.109114476352785,2,1,0.999818728803037,0.6454164215533329,0.00280793885416,0.0,0.010081142287602,0.0,0.0010692595969885588,0.0,0,0,0,69.0,3.597064417088305,0.009975150727330642,0.0011339187622070312
71,71.12581461304984,2015-10-16 09:35:29,11.124747072726851,2,1,0.999818728803037,0.6460835037732846,0.003090044643298,0.0,0.011096100672813,0.0,0.0009720802190713584,0.0,0,0,0,70.0,3.59819851809263,0.010974650315689706,0.0011341571807861328
72,72.12583574594156,2015-10-16 09:35:30,12.124768215643485,2,1,0.9997281080994771,0.6465600111063512,0.003367805872792,0.0,0.012095701327701,0.0,0.0009072780376300216,0.0,0,0,0,71.0,3.5983560293404366,0.01197419365717316,0.0008101463317871094
73,73.14138623330632,2015-10-16 09:35:31,13.140318692983335,2,1,0.999818728803037,0.6472269530945984,0.003649885739166,0.0,0.013111108551278,0.0,0.0009396552923135459,0.0,0,0,0,72.0,3.600142486894242,0.012974233236866004,0.0011339187622070312
74,74.15707462330607,2015-10-16 09:35:32,14.156007062933288,2,1,0.999818728803037,0.64779881798696,0.003932006245188,0.0,0.014126919095668,0.0,0.0008749008411541581,0.0,0,0,0,73.0,3.601114709701818,0.013974542878449844,0.0009722709655761719
75,75.17263369700458,2015-10-16 09:35:33,15.171566166706508,2,1,0.9997281080994771,0.6480846102014362,0.004214090849823,0.0,0.01514284046379,0.0,0.0007452488061971962,0.0,0,0,0,74.0,3.6009475177523314,0.014974806077825491,0.0004858970642089844
76,76.1727666577455,2015-10-16 09:35:34,16.1716992176716,2,1,0.999818728803037,0.6485611175345023,0.004491900890066,0.0,0.016143591868341,0.0,0.0007452488061971962,0.0,0,0,0,75.0,3.602410688902893,0.01597547571363185,0.0008101463317871094
77,77.188250183737,2015-10-16 09:35:35,17.187182653438928,2,1,0.9999093792964402,0.6490376248675689,0.004773964860785,0.0,0.017159882210734,0.0,0.0006804942968301475,0.0,0,0,0,76.0,3.603874368619927,0.016976551927137384,0.0008101463317871094
78,78.20384333711037,2015-10-16 09:35:36,18.20277589703648,2,1,0.999818728803037,0.6495139919689306,0.005056078608688,0.0,0.018176567050255,0.0,0.0006480216979980469,0.0,0,0,0,77.0,3.6040306629042362,0.017977671555721896,0.0008099079132080078
79,79.21947241474173,2015-10-16 09:35:37,19.218404974667827,2,1,0.9997281080994771,0.6498951417427017,0.005338181891194,0.0,0.019193414930561,0.0,0.0006804466247558594,0.0,0,0,0,78.0,3.6040250294232266,0.01897878961945057,0.0006480216979980469
80,80.23506434507632,2015-10-16 09:35:38,20.2339968097658,2,1,0.9999093792964402,0.6502764317481777,0.005620275189057,0.0,0.020210415260964,0.0,0.0006156921153888106,0.0,0,0,0,79.0,3.6059808360392935,0.019980450962794816,0.0006482601165771484
81,81.25066282167589,2015-10-16 09:35:39,21.249595381601974,2,1,0.999818728803037,0.6506575815219489,0.005902365656891,0.0,0.021227589612485,0.0,0.0005832671886309981,0.0,0,0,0,80.0,3.605974870112618,0.02098211064893721,0.0006480216979980469
82,82.26630729255352,2015-10-16 09:35:40,22.265239762255447,2,1,0.999818728803037,0.65103873129572,0.006184481833442,0.0,0.022245034874431,0.0,0.0005508422618731856,0.0,0,0,0,81.0,3.6066228597131555,0.021983950332190867,0.0006480216979980469
83,83.2818990524647,2015-10-16 09:35:41,23.28083151715416,2,1,0.999818728803037,0.6514198810694911,0.006466585264979,0.0,0.023262603221659,0.0,0.0005508422618731856,0.0,0,0,0,82.0,3.607270849313693,0.02298597001255578,0.0006480216979980469
84,84.28190064681064,2015-10-16 09:35:42,24.28083311150011,2,1,0.999818728803037,0.6517058135156721,0.006744348933483,0.0,0.024264669801676,0.0,0.0005184650653973222,0.0,0,0,0,83.0,3.607756960717481,0.023988124723866192,0.00048613548278808594
85,85.29750780498054,2015-10-16 09:35:43,25.29644036490665,2,1,0.999818728803037,0.6520869632894433,0.007026452424085,0.0,0.025282529190716,0.0,0.0004860401095356792,0.0,0,0,0,84.0,3.6084049503180182,0.024990459432287865,0.0006480216979980469
86,86.29752176505056,2015-10-16 09:35:44,26.296454229740046,2,1,0.999818728803037,0.6522775381763288,0.007304230106341,0.0,0.026284946178208,0.0,0.0004860401095356792,0.0,0,0,0,85.0,3.608728945118287,0.025992884139265166,0.00032401084899902344
87,87.31310706390852,2015-10-16 09:35:45,27.31203953361043,2,1,0.999818728803037,0.6525634706225099,0.007586325923453,0.0,0.027303075690331,0.0,0.0004212379571981728,0.0,0,0,0,86.0,3.609215056522075,0.026995443877187966,0.00048613548278808594
88,88.32872304900995,2015-10-16 09:35:46,28.327655603923596,2,1,0.999818728803037,0.6528492628369855,0.007868427907456,0.0,0.028321377196602,0.0,0.0004212379571981728,0.0,0,0,0,87.0,3.609700929519093,0.027998138579832157,0.0004858970642089844
89,89.34336279854148,2015-10-16 09:35:47,29.3422949524588,2,1,0.999818728803037,0.6531351952831665,0.008150261775692,0.0,0.029338836936709,0.0,0.0004212379571981728,0.0,0,0,0,88.0,3.610187040922881,0.029000968313421846,0.00048613548278808594
90,90.3443358465762,2015-10-16 09:35:48,30.34326830625323,2,1,0.999818728803037,0.6533257701700521,0.008428298100794,0.0,0.030342693741545,0.0,0.00035643577575683594,0.0,0,0,0,89.0,3.6105110357231496,0.030003888045567164,0.00032401084899902344
91,91.35993777675658,2015-10-16 09:35:49,31.35887024645851,2,1,0.999818728803037,0.6536115623845282,0.008710392607336,0.0,0.031361347219259,0.0,0.0003888130304403603,0.0,0,0,0,90.0,3.6109969087201677,0.031006942742433877,0.0004858970642089844
92,92.35997198212839,2015-10-16 09:35:50,32.35890451699222,2,1,0.999818728803037,0.6538974948307088,0.008988163397205,0.0,0.032364492142779,0.0,0.0003888130304403603,0.0,0,0,0,91.0,3.6114830201239556,0.03201013247024609,0.00048613548278808594
93,93.37554804303356,2015-10-16 09:35:51,33.374480507723035,2,1,0.9997281080994771,0.6540880697175944,0.0092702526793,0.0,0.033383339839127,0.0,0.00035643577575683594,0.0,0,0,0,92.0,3.611152099283018,0.03301323027560248,0.00032401084899902344
94,94.39116266474753,2015-10-16 09:35:52,34.390095129436986,2,1,0.999818728803037,0.6543740021637754,0.009552345610086,0.0,0.03440230227033,0.0,0.00038886070251464844,0.0,0,0,0,93.0,3.6122931263280122,0.03401664503291582,0.00048613548278808594
95,95.3911946044901,2015-10-16 09:35:53,35.390127139353936,2,1,0.999818728803037,0.654564577050661,0.009830111823188,0.0,0.03540574533178,0.0,0.00032405852107331157,0.0,0,0,0,94.0,3.612617121128281,0.03502014978878479,0.00032401084899902344
96,96.40583225881585,2015-10-16 09:35:55,36.4047646934306,2,1,0.999818728803037,0.6547551519375465,0.010107889590807,0.0,0.036409328223734,0.0,0.00032405852107331157,0.0,0,0,0,96.0,3.6129411159285496,0.03702733929763398,0.00016200542449951172
97,97.40675646048616,2015-10-16 09:35:56,37.40568892517563,2,1,1.0,0.6549457268244321,0.010389988362892,0.0,0.037428606051561,0.0,0.00032401084899902344,0.0,0,0,0,97.0,3.6145756861715483,0.0380313880993483,0.00032401084899902344
98,98.42235776410976,2015-10-16 09:35:57,38.42129022879925,2,1,0.9997281080994771,0.6551363017113176,0.010672089041985,0.0,0.038447981116712,0.0,0.00029163359431549907,0.0,0,0,0,98.0,3.612933866747966,0.03903498084011162,0.00032401084899902344
99,99.42236985954688,2015-10-16 09:35:58,39.421302324236365,2,1,0.999818728803037,0.6552316592706131,0.01094985208074,0.0,0.039451775864478,0.0,0.00025925636873580515,0.0,0,0,0,99.0,3.6137512221326062,0.04003880062403735,0.0001621246337890625
100,100.42238017556284,2015-10-16 09:35:59,40.42131264526477,2,1,0.9997281080994771,0.6554222341574987,0.011227619743629,0.0,0.040455657306187,0.0,0.00025925636873580515,0.0,0,0,0,100.0,3.6134198900069663,0.04104252837126151,0.00032401084899902344
101,101.43807894635488,2015-10-16 09:36:00,41.43701148623118,2,1,0.999818728803037,0.6556128090443842,0.01150975415071,0.0,0.041475409176952,0.0,0.00029163359431549907,0.0,0,0,0,101.0,3.6143992117331436,0.04204652815229849,0.00032401084899902344
102,102.453567855722,2015-10-16 09:36:01,42.45250032041148,2,1,0.999818728803037,0.6558033839312698,0.01179182396467,0.0,0.042495007748771,0.0,0.00029163359431549907,0.0,0,0,0,102.0,3.6147232065334123,0.04305061793189111,0.00032401084899902344
103,103.46923271225016,2015-10-16 09:36:02,43.46816515688981,2,1,0.9999093792964402,0.6559939588181554,0.012073942666012,0.0,0.043514862101486,0.0,0.00025920866755768657,0.0,0,0,0,103.0,3.6157029199902126,0.04405497985411062,0.00032401084899902344
104,104.4849537984875,2015-10-16 09:36:03,44.483886393500775,2,1,0.999818728803037,0.6559939588181554,0.012356069543354,0.0,0.044534830424705,0.0,0.00022683144197799265,0.0,0,0,0,104.0,3.615047201333681,0.04505915963225886,0.0
105,105.48497490631696,2015-10-16 09:36:04,45.4839073409317,2,1,0.9997281080994771,0.6561845337050409,0.012633842543471,0.0,0.045539112655842,0.0,0.00022683144197799265,0.0,0,0,0,105.0,3.6147156342129136,0.04606324730842911,0.00032401084899902344
106,106.4996193825926,2015-10-16 09:36:05,46.49855182723229,2,1,0.999818728803037,0.6563751085919265,0.012911508333402,0.0,0.04654307327978,0.0,0.00022683144197799265,0.0,0,0,0,106.0,3.6156951909342183,0.047067607083688616,0.00032401084899902344
107,107.51601449853456,2015-10-16 09:36:06,47.514946963224006,2,1,0.999818728803037,0.656470466151222,0.013197987171567,0.0,0.047578976042332,0.0,0.00019445418729446828,0.0,0,0,0,107.0,3.6158573075377376,0.04807201189133799,0.0001621246337890625
108,108.51603143600224,2015-10-16 09:36:07,48.51496390069172,2,1,0.9999093792964402,0.6566610410381075,0.013475755932706,0.0,0.04858344300173,0.0,0.00019445418729446828,0.0,0,0,0,108.0,3.61683722670449,0.049076688898755896,0.00032401084899902344
109,109.53066265433702,2015-10-16 09:36:08,49.52959518920086,2,1,0.9997281080994771,0.6568516159249931,0.013753514778059,0.0,0.049587943691817,0.0,0.00022683144197799265,0.0,0,0,0,109.0,3.615849529574888,0.05008109154586003,0.00032401084899902344
110,110.53110953003588,2015-10-16 09:36:09,50.53004206489971,2,1,0.999818728803037,0.6569468332525836,0.014031284876351,0.0,0.050592544488054,0.0,0.00019440651522018015,0.0,0,0,0,110.0,3.6166671753350244,0.05108572131678644,0.00016188621520996094
111,111.53233038377246,2015-10-16 09:36:10,51.531262928661214,2,1,0.9999093792964402,0.6570421908118786,0.014313600514357,0.0,0.051613639982194,0.0,0.00019440651522018015,0.0,0,0,0,111.0,3.6174853338412163,0.05209057835396455,0.0001621246337890625
112,112.54739219696988,2015-10-16 09:36:11,52.54632473183371,2,1,0.999818728803037,0.6571374081394692,0.014595548968855,0.0,0.052633465731198,0.0,0.00019440651522018015,0.0,0,0,0,112.0,3.616991170135293,0.05309529812344658,0.00016188621520996094
113,113.56287434453652,2015-10-16 09:36:12,53.561806814238444,2,1,0.9997281080994771,0.6570421908118786,0.014877601555724,0.0,0.053653715608114,0.0,9.722709364723414e-05,0.0,0,0,0,113.0,3.6161734656263747,0.05409979075278724,-0.00016188621520996094
114,114.57844202963102,2015-10-16 09:36:13,54.57737458454468,2,1,1.0,0.6574233405856498,0.015159692877484,0.0,0.054674171648774,0.0,0.00019440651522018015,0.0,0,0,0,114.0,3.618789384787675,0.05510501002633937,0.0006480216979980469
115,115.5941148308988,2015-10-16 09:36:14,55.59304729558827,2,1,0.999818728803037,0.6574233405856498,0.015441809851999,0.0,0.05569476517854,0.0,0.00012960433377884328,0.0,0,0,0,115.00000000000001,3.617477281539081,0.05610986482676691,0.0
116,116.60935055118844,2015-10-16 09:36:15,56.60828311111454,2,1,0.999818728803037,0.6575185579132403,0.015723817232805,0.0,0.056715027916472,0.0,0.00012960433377884328,0.0,0,0,0,116.00000000000001,3.6176391597358304,0.05711476459336019,0.00016188621520996094
